Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle,Anomaly
MSN-0001,Mission-1,2025-01-01,Star,Titan,Colonization,7.05,5.2,526.68,64.3,21,100.0,731.88,99.78,SLS,-1
MSN-0005,Mission-5,2025-01-29,Exoplanet,Proxima b,Mining,8.67,9.2,72.14,96.5,31,73.2,892.76,12.4,Starship,-1
MSN-0016,Mission-16,2025-04-16,Moon,Io,Exploration,0.65,3.1,495.63,37.2,86,100.0,159.52,95.5,Starship,-1
MSN-0028,Mission-28,2025-07-09,Moon,Mars,Mining,2.44,4.4,41.36,66.4,81,67.4,248.33,6.8,Falcon Heavy,-1
MSN-0029,Mission-29,2025-07-16,Star,Betelgeuse,Research,8.4,8.5,312.53,54.0,88,100.0,857.78,55.68,SLS,-1
MSN-0031,Mission-31,2025-07-30,Asteroid,Proxima b,Colonization,4.23,4.7,484.77,99.4,15,100.0,448.31,87.32,Ariane 6,-1
MSN-0042,Mission-42,2025-10-15,Planet,Titan,Research,46.85,26.3,117.58,96.8,93,83.9,4657.59,15.99,Ariane 6,-1
MSN-0045,Mission-45,2025-11-05,Moon,Proxima b,Colonization,1.66,4.8,77.28,58.0,70,82.7,81.54,8.98,Falcon Heavy,-1
MSN-0046,Mission-46,2025-11-12,Planet,Ceres,Mining,13.19,9.3,486.49,88.3,6,100.0,1295.44,94.02,Falcon Heavy,-1
MSN-0049,Mission-49,2025-12-03,Moon,Ceres,Research,24.87,16.5,444.51,21.2,3,100.0,2383.75,83.02,SLS,-1
MSN-0057,Mission-57,2026-01-28,Star,Betelgeuse,Exploration,34.45,21.7,74.62,53.5,65,74.6,3445.9,13.31,SLS,-1
MSN-0062,Mission-62,2026-03-04,Star,Titan,Exploration,34.77,22.2,57.6,28.3,32,70.2,3445.51,4.99,SLS,-1
MSN-0066,Mission-66,2026-04-01,Star,Europa,Colonization,4.67,4.2,498.39,54.3,83,100.0,396.72,93.66,SLS,-1
MSN-0071,Mission-71,2026-05-06,Planet,Proxima b,Exploration,9.34,7.7,65.12,84.5,33,74.0,909.96,3.18,SLS,-1
MSN-0075,Mission-75,2026-06-03,Exoplanet,Proxima b,Mining,40.35,22.6,172.42,28.0,4,84.7,4143.5,28.75,SLS,-1
MSN-0082,Mission-82,2026-07-22,Planet,Mars,Colonization,49.38,26.0,497.14,89.5,49,100.0,4925.01,90.34,SLS,-1
MSN-0086,Mission-86,2026-08-19,Planet,Titan,Exploration,46.27,25.9,76.29,93.4,69,79.2,4556.19,5.79,SLS,-1
MSN-0089,Mission-89,2026-09-09,Star,Ceres,Colonization,45.78,24.8,306.28,71.9,6,100.0,4537.53,59.21,SLS,-1
MSN-0090,Mission-90,2026-09-16,Asteroid,Proxima b,Mining,1.79,5.6,195.68,75.0,13,87.1,226.84,35.96,Falcon Heavy,-1
MSN-0093,Mission-93,2026-10-07,Asteroid,Io,Mining,46.23,24.2,419.98,36.9,99,100.0,4621.88,82.77,SLS,-1
MSN-0098,Mission-98,2026-11-11,Moon,Io,Mining,42.24,24.7,511.73,96.2,74,100.0,4238.98,95.84,Falcon Heavy,-1
MSN-0101,Mission-101,2026-12-02,Star,Proxima b,Exploration,1.95,5.8,123.33,70.9,95,82.3,230.04,22.83,Falcon Heavy,-1
MSN-0105,Mission-105,2026-12-30,Planet,Titan,Research,3.94,4.5,67.64,76.4,2,79.7,357.1,6.9,SLS,-1
MSN-0109,Mission-109,2027-01-27,Asteroid,Proxima b,Mining,3.36,4.7,149.06,77.8,7,93.6,285.02,23.45,Ariane 6,-1
MSN-0120,Mission-120,2027-04-14,Moon,Betelgeuse,Mining,1.16,2.4,293.27,15.9,12,92.4,84.36,48.85,Ariane 6,-1
MSN-0123,Mission-123,2027-05-05,Exoplanet,Mars,Colonization,46.96,28.3,89.89,82.7,5,78.7,4636.54,15.39,Falcon Heavy,-1
MSN-0125,Mission-125,2027-05-19,Planet,Proxima b,Research,49.9,26.8,41.94,16.5,12,72.6,5018.6,7.14,SLS,-1
MSN-0132,Mission-132,2027-07-07,Exoplanet,Io,Research,49.21,27.1,45.31,73.6,78,80.1,4820.63,5.82,Starship,-1
MSN-0138,Mission-138,2027-08-18,Moon,Proxima b,Mining,5.61,5.5,64.68,35.3,19,66.0,465.42,5.51,Ariane 6,-1
MSN-0143,Mission-143,2027-09-22,Star,Mars,Colonization,2.2,3.2,121.13,38.9,47,84.1,276.98,17.82,Starship,-1
MSN-0144,Mission-144,2027-09-29,Star,Europa,Research,0.99,1.7,104.18,52.9,39,69.3,79.63,13.57,Starship,-1
MSN-0145,Mission-145,2027-10-06,Star,Io,Research,49.39,26.6,79.65,30.3,68,72.0,4884.07,13.21,Falcon Heavy,-1
MSN-0152,Mission-152,2027-11-24,Planet,Proxima b,Research,4.56,4.1,88.07,90.0,87,79.2,426.51,15.11,Falcon Heavy,-1
MSN-0155,Mission-155,2027-12-15,Asteroid,Ceres,Mining,47.24,26.1,73.21,62.7,19,66.8,4648.99,8.6,Starship,-1
MSN-0156,Mission-156,2027-12-22,Planet,Io,Colonization,23.42,16.4,13.32,66.2,54,74.7,2303.06,1.41,SLS,-1
MSN-0165,Mission-165,2028-02-23,Asteroid,Europa,Exploration,11.61,8.4,102.01,22.9,8,78.1,1218.3,10.74,SLS,-1
MSN-0166,Mission-166,2028-03-01,Moon,Betelgeuse,Research,8.91,8.1,524.47,79.8,90,100.0,852.13,95.72,SLS,-1
MSN-0171,Mission-171,2028-04-05,Planet,Europa,Colonization,2.99,4.2,170.55,66.7,66,92.3,286.87,24.46,Ariane 6,-1
MSN-0172,Mission-172,2028-04-12,Planet,Betelgeuse,Colonization,48.46,25.7,62.02,14.9,6,78.6,4751.5,10.6,SLS,-1
MSN-0180,Mission-180,2028-06-07,Planet,Mars,Exploration,7.78,8.4,192.99,15.6,90,86.7,723.22,28.78,SLS,-1
MSN-0190,Mission-190,2028-08-16,Asteroid,Ceres,Mining,6.56,6.2,518.66,38.2,98,100.0,636.59,97.84,Starship,-1
MSN-0194,Mission-194,2028-09-13,Moon,Ceres,Mining,40.49,22.7,389.65,91.9,2,100.0,4049.21,73.36,Falcon Heavy,-1
MSN-0197,Mission-197,2028-10-04,Asteroid,Mars,Colonization,4.44,6.0,426.67,18.0,38,100.0,463.07,83.43,SLS,-1
MSN-0203,Mission-203,2028-11-15,Planet,Proxima b,Mining,4.14,4.3,260.67,10.4,91,100.0,388.26,42.17,Falcon Heavy,-1
MSN-0207,Mission-207,2028-12-13,Exoplanet,Titan,Exploration,42.58,24.9,538.32,96.9,41,100.0,4262.31,99.66,SLS,-1
MSN-0212,Mission-212,2029-01-17,Star,Ceres,Mining,17.46,11.4,115.42,19.5,99,81.4,1722.13,16.71,SLS,-1
MSN-0230,Mission-230,2029-05-23,Star,Titan,Mining,1.56,2.7,373.82,69.2,2,100.0,180.58,74.48,Ariane 6,-1
MSN-0231,Mission-231,2029-05-30,Moon,Betelgeuse,Mining,41.31,22.6,19.43,52.5,29,72.1,4130.54,3.49,Falcon Heavy,-1
MSN-0236,Mission-236,2029-07-04,Moon,Titan,Mining,40.92,25.1,370.71,36.6,89,100.0,4066.54,69.8,SLS,-1
MSN-0248,Mission-248,2029-09-26,Planet,Titan,Exploration,5.44,4.6,21.86,15.2,25,66.8,422.68,1.64,Ariane 6,-1
MSN-0252,Mission-252,2029-10-24,Star,Ceres,Colonization,17.16,10.3,41.76,85.2,68,76.7,1637.72,3.37,SLS,-1
MSN-0255,Mission-255,2029-11-14,Planet,Betelgeuse,Colonization,5.22,4.6,109.93,40.4,9,71.9,534.18,18.27,Starship,-1
MSN-0258,Mission-258,2029-12-05,Exoplanet,Mars,Exploration,3.49,5.7,339.51,47.2,1,100.0,300.51,62.94,Starship,-1
MSN-0263,Mission-263,2030-01-09,Exoplanet,Europa,Colonization,17.36,12.1,138.37,10.9,32,80.0,1693.16,20.43,SLS,-1
MSN-0264,Mission-264,2030-01-16,Planet,Europa,Mining,31.08,18.5,45.88,51.8,32,74.9,3051.7,3.23,Ariane 6,-1
MSN-0265,Mission-265,2030-01-23,Star,Europa,Colonization,2.38,2.4,456.63,96.7,6,100.0,225.18,86.3,Starship,-1
MSN-0272,Mission-272,2030-03-13,Planet,Mars,Research,1.33,4.0,484.07,97.8,50,100.0,108.91,91.39,Falcon Heavy,-1
MSN-0273,Mission-273,2030-03-20,Planet,Titan,Mining,1.2,3.4,320.15,21.3,35,96.6,136.22,57.64,Falcon Heavy,-1
MSN-0283,Mission-283,2030-05-29,Planet,Io,Exploration,8.26,8.9,66.31,41.3,19,68.7,839.83,9.08,Ariane 6,-1
MSN-0290,Mission-290,2030-07-17,Star,Ceres,Colonization,13.74,10.0,440.5,12.1,84,100.0,1315.03,81.37,Ariane 6,-1
MSN-0291,Mission-291,2030-07-24,Asteroid,Io,Research,47.55,28.5,26.83,90.9,40,71.3,4826.75,2.37,Falcon Heavy,-1
MSN-0294,Mission-294,2030-08-14,Star,Europa,Research,47.19,25.1,448.68,51.2,96,100.0,4715.09,80.07,Ariane 6,-1
MSN-0299,Mission-299,2030-09-18,Star,Titan,Exploration,49.2,29.4,271.01,32.2,69,89.2,4921.26,46.39,Falcon Heavy,-1
MSN-0304,Mission-304,2030-10-23,Exoplanet,Europa,Research,1.65,4.2,515.71,96.2,75,100.0,162.12,99.7,Starship,-1
MSN-0309,Mission-309,2030-11-27,Exoplanet,Io,Research,48.41,26.7,153.95,96.6,58,89.9,4852.69,23.88,SLS,-1
MSN-0313,Mission-313,2030-12-25,Moon,Europa,Mining,38.57,22.3,94.5,27.6,82,83.2,3852.41,14.67,Falcon Heavy,-1
MSN-0318,Mission-318,2031-01-29,Moon,Betelgeuse,Research,1.72,4.8,397.99,23.2,38,100.0,157.41,76.05,Ariane 6,-1
MSN-0325,Mission-325,2031-03-19,Planet,Proxima b,Research,34.31,20.8,507.31,92.6,3,100.0,3424.39,93.52,Falcon Heavy,-1
MSN-0329,Mission-329,2031-04-16,Moon,Europa,Exploration,3.3,3.0,363.49,73.7,8,100.0,228.91,69.47,Starship,-1
MSN-0335,Mission-335,2031-05-28,Star,Ceres,Exploration,0.68,4.7,310.57,22.1,39,100.0,172.66,57.93,SLS,-1
MSN-0336,Mission-336,2031-06-04,Moon,Io,Mining,3.72,3.0,146.17,96.2,60,78.2,296.41,21.47,Ariane 6,-1
MSN-0346,Mission-346,2031-08-13,Moon,Ceres,Mining,5.34,4.6,435.46,49.0,2,100.0,512.48,78.56,Starship,-1
MSN-0354,Mission-354,2031-10-08,Star,Ceres,Exploration,0.59,4.9,193.28,81.4,92,98.0,19.37,38.29,Falcon Heavy,-1
MSN-0358,Mission-358,2031-11-05,Exoplanet,Betelgeuse,Research,17.6,12.1,60.64,27.7,22,73.1,1795.17,11.79,SLS,-1
MSN-0359,Mission-359,2031-11-12,Planet,Europa,Colonization,1.76,5.5,156.83,95.6,11,76.5,110.63,25.61,Starship,-1
MSN-0362,Mission-362,2031-12-03,Star,Proxima b,Research,6.72,7.9,479.66,98.3,77,100.0,708.6,87.67,SLS,-1
MSN-0369,Mission-369,2032-01-21,Star,Titan,Colonization,31.86,18.1,498.46,98.3,68,100.0,3165.53,94.56,SLS,-1
MSN-0371,Mission-371,2032-02-04,Moon,Mars,Colonization,1.68,4.5,193.93,81.3,79,95.2,111.63,33.83,SLS,-1
MSN-0372,Mission-372,2032-02-11,Star,Titan,Research,46.82,25.1,261.12,91.7,1,93.6,4738.4,50.56,Falcon Heavy,-1
MSN-0381,Mission-381,2032-04-14,Moon,Titan,Mining,4.1,6.1,199.46,32.3,5,91.4,380.22,33.55,SLS,-1
MSN-0395,Mission-395,2032-07-21,Exoplanet,Io,Exploration,48.8,27.5,74.5,39.0,12,86.5,4927.06,6.31,Ariane 6,-1
MSN-0405,Mission-405,2032-09-29,Star,Proxima b,Exploration,48.74,28.8,297.66,45.8,88,99.3,4772.19,51.6,Ariane 6,-1
MSN-0409,Mission-409,2032-10-27,Exoplanet,Ceres,Research,3.7,4.8,451.62,78.5,32,100.0,390.21,83.13,SLS,-1
MSN-0411,Mission-411,2032-11-10,Moon,Ceres,Research,12.96,9.0,64.36,45.3,96,73.4,1307.35,11.43,Starship,-1
MSN-0419,Mission-419,2033-01-05,Exoplanet,Europa,Mining,49.38,26.6,213.03,60.8,85,87.2,4908.17,41.37,SLS,-1
MSN-0420,Mission-420,2033-01-12,Star,Europa,Mining,2.1,3.7,469.55,42.3,61,100.0,314.9,88.75,SLS,-1
MSN-0421,Mission-421,2033-01-19,Moon,Titan,Colonization,43.36,25.8,69.27,69.1,9,74.9,4309.72,5.67,Ariane 6,-1
MSN-0427,Mission-427,2033-03-02,Planet,Proxima b,Mining,45.05,25.5,513.86,29.9,5,100.0,4450.39,94.26,Starship,-1
MSN-0432,Mission-432,2033-04-06,Planet,Mars,Colonization,10.61,7.0,52.07,35.4,87,72.5,1163.1,2.06,Starship,-1
MSN-0453,Mission-453,2033-08-31,Exoplanet,Europa,Research,48.47,25.8,433.97,28.6,22,100.0,4901.0,82.21,SLS,-1
MSN-0470,Mission-470,2033-12-28,Star,Mars,Exploration,35.37,20.5,47.87,13.4,15,80.2,3567.45,1.02,Starship,-1
MSN-0471,Mission-471,2034-01-04,Moon,Mars,Colonization,8.44,5.4,468.66,21.5,28,100.0,857.1,91.59,Ariane 6,-1
MSN-0472,Mission-472,2034-01-11,Exoplanet,Proxima b,Exploration,8.46,7.4,466.55,78.9,24,100.0,748.52,84.54,SLS,-1
MSN-0473,Mission-473,2034-01-18,Moon,Titan,Mining,1.93,3.3,390.72,10.0,72,100.0,175.46,74.49,Starship,-1
MSN-0475,Mission-475,2034-02-01,Asteroid,Titan,Mining,33.22,20.1,81.24,57.0,47,76.8,3390.49,12.92,Falcon Heavy,-1
MSN-0478,Mission-478,2034-02-22,Planet,Betelgeuse,Mining,40.3,22.9,474.5,30.4,97,100.0,4077.29,92.95,Falcon Heavy,-1
MSN-0487,Mission-487,2034-04-26,Planet,Io,Mining,2.06,2.7,36.82,76.8,98,79.1,217.33,4.52,Starship,-1
MSN-0488,Mission-488,2034-05-03,Asteroid,Ceres,Mining,6.19,7.3,532.62,86.4,13,100.0,590.92,99.44,Falcon Heavy,-1
MSN-0493,Mission-493,2034-06-07,Star,Io,Colonization,2.17,3.4,202.5,83.5,77,92.6,199.97,39.79,Ariane 6,-1
MSN-0497,Mission-497,2034-07-05,Asteroid,Betelgeuse,Exploration,0.35,4.1,379.71,82.6,61,100.0,62.59,67.88,SLS,-1
